Sequence_ID,A_percentage,T_percentage,G_percentage,C_percentage,CG_content
hCoV-19/Ghana/TRA-2298/2021|EPI_ISL_6939033|2021-11-25,29.878048780487802,32.12505053227328,19.623366123163994,18.312895836140683,37.93626195930467
hCoV-19/Ghana/TRA-2303/2021|EPI_ISL_6939034|2021-11-25,29.83762296186498,32.08799353186902,19.603153213852583,18.302789381484974,37.90594259533756
hCoV-19/Ghana/TRA-2342/2021|EPI_ISL_6939036|2021-11-26,29.89152405336208,32.14189462336613,19.626734941382562,18.33984638188923,37.9665813232718
hCoV-19/Ghana/TRA-2366/2021|EPI_ISL_7661095|2021-11-28,29.31822766086196,31.479862838701,19.263094197539164,17.978887917703222,37.241982115242386
hCoV-19/Ghana/NMIMR-NCOV-21-60354/2021|EPI_ISL_8065961|2021-11-22,29.062794771594124,31.36706643309527,19.050667026007275,17.733459102546824,36.7841261285541
hCoV-19/Ghana/NMIMR-NCOV-21-60454/2021|EPI_ISL_8065963|2021-11-25,29.862561476790404,32.1228862089874,19.62878124368389,18.341979384221517,37.970760627905406
hCoV-19/Ghana/NMIMR-NCOV-21-60738/2021|EPI_ISL_8065967|2021-12-07,29.059425953375555,31.36706643309527,19.050667026007275,17.730090284328256,36.78075731033553
hCoV-19/Ghana/NMIMR-NCOV-21-60809/2021|EPI_ISL_8065971|2021-12-08,29.300758213984835,31.602358887952825,19.214827295703454,17.92754844144903,37.142375737152484
hCoV-19/Ghana/NMIMR-NCOV-21-60813/2021|EPI_ISL_8065973|2021-12-08,29.06095218841605,31.362242663162505,19.053876478318003,17.736446645776475,36.79032312409448
hCoV-19/Ghana/NMIMR-NUR-21-35969/2021|EPI_ISL_8065975|2021-12-08,29.854213662839634,32.140331975354364,19.628968721591868,18.339449850173395,37.96841857176526
hCoV-19/Ghana/NMIMR-CT-21-20310/2021|EPI_ISL_8065977|2021-12-09,29.04931949871985,31.36032879665813,19.050667026007275,17.730090284328256,36.78075731033553
hCoV-19/Ghana/NMIMR-PUR-21-14127/2021|EPI_ISL_8065980|2021-12-09,29.878356976783365,32.11914950972133,19.631364356235466,18.361020318765373,37.992384675000835
hCoV-19/Ghana/NMIMR-NCOV-21-60862/2021|EPI_ISL_8065982|2021-12-10,29.34914432017248,31.646678345236488,19.27974666486996,17.97938283250236,37.25912949737232
hCoV-19/Ghana/NMIMR-NUR-21-36176/2021|EPI_ISL_8065985|2021-12-11,29.544765306466285,31.73501364693197,19.446035650503756,18.088081679415037,37.53411732991879
hCoV-19/Ghana/NMIMR-NUR-21-36360/2021|EPI_ISL_8065986|2021-12-16,29.521948590102078,31.799346427247922,19.391570932857192,18.087794360408317,37.47936529326551
Average,29.49797762772143,31.763818056910193,19.369568059848245,18.06598418007553,37.43555223992377
